=== [news_v2] 영상 인코딩 시작 ===[AI인코딩] segment_0 360p: CRF=28, maxrate=1541000.0
[AI인코딩] segment_0 480p: CRF=28, maxrate=1541000.0
[AI인코딩] segment_0 720p: CRF=28, maxrate=1541000.0
[AI인코딩] segment_0 1080p: CRF=28, maxrate=1541000.0
[AI인코딩] segment_1 360p: CRF=30, maxrate=760999.9999999999
[AI인코딩] segment_1 480p: CRF=30, maxrate=760999.9999999999
[AI인코딩] segment_1 720p: CRF=30, maxrate=760999.9999999999
[AI인코딩] segment_1 1080p: CRF=30, maxrate=760999.9999999999
[AI인코딩] segment_2 360p: CRF=29, maxrate=1434999.9999999998
[AI인코딩] segment_2 480p: CRF=29, maxrate=1434999.9999999998
[AI인코딩] segment_2 720p: CRF=29, maxrate=1434999.9999999998
[AI인코딩] segment_2 1080p: CRF=29, maxrate=1434999.9999999998
[AI인코딩] segment_3 360p: CRF=28, maxrate=836999.9999999998
[AI인코딩] segment_3 480p: CRF=28, maxrate=836999.9999999998
[AI인코딩] segment_3 720p: CRF=28, maxrate=836999.9999999998
[AI인코딩] segment_3 1080p: CRF=28, maxrate=836999.9999999998
[AI인코딩] segment_4 360p: CRF=28, maxrate=941999.9999999998
[AI인코딩] segment_4 480p: CRF=28, maxrate=941999.9999999998
[AI인코딩] segment_4 720p: CRF=28, maxrate=941999.9999999998
[AI인코딩] segment_4 1080p: CRF=28, maxrate=941999.9999999998
[AI인코딩] segment_5 360p: CRF=29, maxrate=868999.9999999999
[AI인코딩] segment_5 480p: CRF=29, maxrate=868999.9999999999
[AI인코딩] segment_5 720p: CRF=29, maxrate=868999.9999999999
[AI인코딩] segment_5 1080p: CRF=29, maxrate=868999.9999999999
[AI인코딩] segment_6 360p: CRF=28, maxrate=794999.9999999998
[AI인코딩] segment_6 480p: CRF=28, maxrate=794999.9999999998
[AI인코딩] segment_6 720p: CRF=28, maxrate=794999.9999999998
[AI인코딩] segment_6 1080p: CRF=28, maxrate=794999.9999999998
[AI인코딩] segment_7 360p: CRF=28, maxrate=873999.9999999998
[AI인코딩] segment_7 480p: CRF=28, maxrate=873999.9999999998
[AI인코딩] segment_7 720p: CRF=28, maxrate=873999.9999999998
[AI인코딩] segment_7 1080p: CRF=28, maxrate=873999.9999999998
[AI인코딩] segment_8 360p: CRF=30, maxrate=814000.0
[AI인코딩] segment_8 480p: CRF=30, maxrate=814000.0
[AI인코딩] segment_8 720p: CRF=30, maxrate=814000.0
[AI인코딩] segment_8 1080p: CRF=30, maxrate=814000.0
[AI인코딩] segment_9 360p: CRF=28, maxrate=781999.9999999999
[AI인코딩] segment_9 480p: CRF=28, maxrate=781999.9999999999
[AI인코딩] segment_9 720p: CRF=28, maxrate=781999.9999999999
[AI인코딩] segment_9 1080p: CRF=28, maxrate=781999.9999999999
[AI인코딩] segment_10 360p: CRF=28, maxrate=900999.9999999998
[AI인코딩] segment_10 480p: CRF=28, maxrate=900999.9999999998
[AI인코딩] segment_10 720p: CRF=28, maxrate=900999.9999999998
[AI인코딩] segment_10 1080p: CRF=28, maxrate=900999.9999999998
[AI인코딩] segment_11 360p: CRF=28, maxrate=1185000.0
[AI인코딩] segment_11 480p: CRF=28, maxrate=1185000.0
[AI인코딩] segment_11 720p: CRF=28, maxrate=1185000.0
[AI인코딩] segment_11 1080p: CRF=28, maxrate=1185000.0
[AI인코딩] segment_12 360p: CRF=28, maxrate=910999.9999999998
[AI인코딩] segment_12 480p: CRF=28, maxrate=910999.9999999998
[AI인코딩] segment_12 720p: CRF=28, maxrate=910999.9999999998
[AI인코딩] segment_12 1080p: CRF=28, maxrate=910999.9999999998
[AI인코딩] segment_13 360p: CRF=28, maxrate=898999.9999999998
[AI인코딩] segment_13 480p: CRF=28, maxrate=898999.9999999998
[AI인코딩] segment_13 720p: CRF=28, maxrate=898999.9999999998
[AI인코딩] segment_13 1080p: CRF=28, maxrate=898999.9999999998
[AI인코딩] segment_14 360p: CRF=28, maxrate=714999.9999999998
[AI인코딩] segment_14 480p: CRF=28, maxrate=714999.9999999998
[AI인코딩] segment_14 720p: CRF=28, maxrate=714999.9999999998
[AI인코딩] segment_14 1080p: CRF=28, maxrate=714999.9999999998
[AI인코딩] segment_15 360p: CRF=28, maxrate=1097000.0
[AI인코딩] segment_15 480p: CRF=28, maxrate=1097000.0
[AI인코딩] segment_15 720p: CRF=28, maxrate=1097000.0
[AI인코딩] segment_15 1080p: CRF=28, maxrate=1097000.0
[AI인코딩] segment_16 360p: CRF=30, maxrate=798999.9999999999
[AI인코딩] segment_16 480p: CRF=30, maxrate=798999.9999999999
[AI인코딩] segment_16 720p: CRF=30, maxrate=798999.9999999999
[AI인코딩] segment_16 1080p: CRF=30, maxrate=798999.9999999999
[AI인코딩] segment_17 360p: CRF=28, maxrate=844999.9999999998
[AI인코딩] segment_17 480p: CRF=28, maxrate=844999.9999999998
[AI인코딩] segment_17 720p: CRF=28, maxrate=844999.9999999998
[AI인코딩] segment_17 1080p: CRF=28, maxrate=844999.9999999998
[AI인코딩] segment_18 360p: CRF=28, maxrate=905999.9999999997
[AI인코딩] segment_18 480p: CRF=28, maxrate=905999.9999999997
[AI인코딩] segment_18 720p: CRF=28, maxrate=905999.9999999997
[AI인코딩] segment_18 1080p: CRF=28, maxrate=905999.9999999997
[AI인코딩] segment_19 360p: CRF=28, maxrate=1101999.9999999998
[AI인코딩] segment_19 480p: CRF=28, maxrate=1101999.9999999998
[AI인코딩] segment_19 720p: CRF=28, maxrate=1101999.9999999998
[AI인코딩] segment_19 1080p: CRF=28, maxrate=1101999.9999999998
[AI인코딩] segment_20 360p: CRF=29, maxrate=890999.9999999998
[AI인코딩] segment_20 480p: CRF=29, maxrate=890999.9999999998
[AI인코딩] segment_20 720p: CRF=29, maxrate=890999.9999999998
[AI인코딩] segment_20 1080p: CRF=29, maxrate=890999.9999999998
[AI인코딩] segment_21 360p: CRF=28, maxrate=820999.9999999997
[AI인코딩] segment_21 480p: CRF=28, maxrate=820999.9999999997
[AI인코딩] segment_21 720p: CRF=28, maxrate=820999.9999999997
[AI인코딩] segment_21 1080p: CRF=28, maxrate=820999.9999999997
[AI인코딩] segment_22 360p: CRF=29, maxrate=1453000.0000000002
[AI인코딩] segment_22 480p: CRF=29, maxrate=1453000.0000000002
[AI인코딩] segment_22 720p: CRF=29, maxrate=1453000.0000000002
[AI인코딩] segment_22 1080p: CRF=29, maxrate=1453000.0000000002
[AI인코딩] segment_23 360p: CRF=30, maxrate=1450999.9999999998
[AI인코딩] segment_23 480p: CRF=30, maxrate=1450999.9999999998
[AI인코딩] segment_23 720p: CRF=30, maxrate=1450999.9999999998
[AI인코딩] segment_23 1080p: CRF=30, maxrate=1450999.9999999998
