segment_name,time_second,bitrate_kbps,resolution
ai_seg_62_480p.mp4,0,342.16,480p
ai_seg_62_720p.mp4,0,612.71,720p
ai_seg_62_1080p.mp4,1,789.06,1080p
ai_seg_62_360p.mp4,1,144.41,360p
ai_seg_62_480p.mp4,1,227.35,480p
ai_seg_62_720p.mp4,1,416.47,720p
ai_seg_63_1080p.mp4,0,2809.68,1080p
ai_seg_63_360p.mp4,0,405.74,360p
ai_seg_63_480p.mp4,0,658.73,480p
ai_seg_63_720p.mp4,0,1442.02,720p
ai_seg_63_1080p.mp4,1,2163.85,1080p
ai_seg_63_360p.mp4,1,356.5,360p
ai_seg_63_480p.mp4,1,584.14,480p
ai_seg_63_720p.mp4,1,1141.35,720p
ai_seg_64_1080p.mp4,0,1983.86,1080p
ai_seg_64_360p.mp4,0,380.4,360p
ai_seg_64_480p.mp4,0,616.92,480p
ai_seg_64_720p.mp4,0,1090.92,720p
ai_seg_64_1080p.mp4,1,1723.7,1080p
ai_seg_64_360p.mp4,1,293.25,360p
ai_seg_64_480p.mp4,1,460.78,480p
ai_seg_64_720p.mp4,1,875.62,720p
ai_seg_65_1080p.mp4,0,2100.96,1080p
ai_seg_65_360p.mp4,0,379.25,360p
ai_seg_65_480p.mp4,0,645.27,480p
ai_seg_65_720p.mp4,0,1165.43,720p
ai_seg_65_1080p.mp4,1,1951.14,1080p
ai_seg_65_360p.mp4,1,342.34,360p
ai_seg_65_480p.mp4,1,558.45,480p
ai_seg_65_720p.mp4,1,1052.89,720p
ai_seg_66_1080p.mp4,0,2089.98,1080p
ai_seg_66_360p.mp4,0,339.62,360p
ai_seg_66_480p.mp4,0,563.95,480p
ai_seg_66_720p.mp4,0,1103.18,720p
ai_seg_66_1080p.mp4,1,1628.17,1080p
ai_seg_66_360p.mp4,1,310.74,360p
ai_seg_66_480p.mp4,1,474.74,480p
ai_seg_66_720p.mp4,1,885.28,720p
ai_seg_67_1080p.mp4,0,1456.97,1080p
ai_seg_67_360p.mp4,0,269.7,360p
ai_seg_67_480p.mp4,0,430.26,480p
ai_seg_67_720p.mp4,0,827.66,720p
ai_seg_67_1080p.mp4,1,1079.72,1080p
ai_seg_67_360p.mp4,1,203.82,360p
ai_seg_67_480p.mp4,1,310.48,480p
ai_seg_67_720p.mp4,1,562.95,720p
ai_seg_68_1080p.mp4,0,1503.08,1080p
ai_seg_68_360p.mp4,0,282.65,360p
ai_seg_68_480p.mp4,0,448.06,480p
ai_seg_68_720p.mp4,0,881.48,720p
ai_seg_68_1080p.mp4,1,1284.3,1080p
ai_seg_68_360p.mp4,1,244.9,360p
ai_seg_68_480p.mp4,1,381.14,480p
ai_seg_68_720p.mp4,1,690.27,720p
