segment_name,time_second,bitrate_kbps,resolution
ai_seg_55_1080p.mp4,0,2552.02,1080p
ai_seg_55_360p.mp4,0,476.27,360p
ai_seg_55_480p.mp4,0,794.32,480p
ai_seg_55_720p.mp4,0,1570.59,720p
ai_seg_55_1080p.mp4,1,1952.26,1080p
ai_seg_55_360p.mp4,1,300.78,360p
ai_seg_55_480p.mp4,1,509.59,480p
ai_seg_55_720p.mp4,1,1062.38,720p
ai_seg_56_1080p.mp4,0,2449.16,1080p
ai_seg_56_360p.mp4,0,506.82,360p
ai_seg_56_480p.mp4,0,772.6,480p
ai_seg_56_720p.mp4,0,1535.39,720p
ai_seg_56_1080p.mp4,1,1641.88,1080p
ai_seg_56_360p.mp4,1,261.74,360p
ai_seg_56_480p.mp4,1,421.86,480p
ai_seg_56_720p.mp4,1,917.1,720p
ai_seg_57_1080p.mp4,0,2299.42,1080p
ai_seg_57_360p.mp4,0,414.38,360p
ai_seg_57_480p.mp4,0,662.83,480p
ai_seg_57_720p.mp4,0,1401.31,720p
ai_seg_57_1080p.mp4,1,1537.3,1080p
ai_seg_57_360p.mp4,1,253.74,360p
ai_seg_57_480p.mp4,1,402.95,480p
ai_seg_57_720p.mp4,1,856.66,720p
ai_seg_58_1080p.mp4,0,2183.97,1080p
ai_seg_58_360p.mp4,0,452.82,360p
ai_seg_58_480p.mp4,0,690.74,480p
ai_seg_58_720p.mp4,0,1371.78,720p
ai_seg_58_1080p.mp4,1,2160.79,1080p
ai_seg_58_360p.mp4,1,378.8,360p
ai_seg_58_480p.mp4,1,601.75,480p
ai_seg_58_720p.mp4,1,1198.35,720p
ai_seg_59_1080p.mp4,0,3225.6,1080p
ai_seg_59_360p.mp4,0,688.94,360p
ai_seg_59_480p.mp4,0,1065.91,480p
ai_seg_59_720p.mp4,0,1944.81,720p
ai_seg_59_1080p.mp4,1,2401.51,1080p
ai_seg_59_360p.mp4,1,427.64,360p
ai_seg_59_480p.mp4,1,666.25,480p
ai_seg_59_720p.mp4,1,1374.64,720p
ai_seg_60_1080p.mp4,0,3668.75,1080p
ai_seg_60_360p.mp4,0,795.66,360p
ai_seg_60_480p.mp4,0,1229.58,480p
ai_seg_60_720p.mp4,0,2137.99,720p
ai_seg_60_1080p.mp4,1,2886.14,1080p
ai_seg_60_360p.mp4,1,455.97,360p
ai_seg_60_480p.mp4,1,744.45,480p
ai_seg_60_720p.mp4,1,1585.09,720p
ai_seg_61_1080p.mp4,0,2762.45,1080p
ai_seg_61_360p.mp4,0,585.31,360p
ai_seg_61_480p.mp4,0,898.13,480p
ai_seg_61_720p.mp4,0,1732.94,720p
ai_seg_61_1080p.mp4,1,2089.43,1080p
ai_seg_61_360p.mp4,1,362.72,360p
ai_seg_61_480p.mp4,1,573.99,480p
ai_seg_61_720p.mp4,1,1207.43,720p
ai_seg_62_1080p.mp4,0,2692.75,1080p
ai_seg_62_360p.mp4,0,574.82,360p
ai_seg_62_480p.mp4,0,874.5,480p
ai_seg_62_720p.mp4,0,1709.93,720p
ai_seg_62_1080p.mp4,1,2009.85,1080p
ai_seg_62_360p.mp4,1,344.78,360p
ai_seg_62_480p.mp4,1,554.79,480p
ai_seg_62_720p.mp4,1,1151.61,720p
ai_seg_63_1080p.mp4,0,2182.24,1080p
ai_seg_63_360p.mp4,0,520.3,360p
ai_seg_63_480p.mp4,0,774.81,480p
ai_seg_63_720p.mp4,0,1332.24,720p
ai_seg_63_1080p.mp4,1,1692.29,1080p
ai_seg_63_360p.mp4,1,303.95,360p
ai_seg_63_480p.mp4,1,525.29,480p
